id,idiom,definition,positive,negative,other
1,a moot point,A subject which gives rise to argument or debate.,0,40,60
2,nothing doing,This term means that there is no way you would accept to do what is proposed.,0,80,20
3,at odds,To disagree with someone.,0,100,0
4,olive branch,To show that someone wants to end a disagreement and make peace.,100,0,0
5,out of the question,To be impossible and is therefore not worth discussing.,0,100,0
6,over someone's dead body,This expression is used by someone who absolutely refuses to allow someone to do something.,0,100,0
7,pick a fight,To deliberately look for an opportunity to start a quarrel or begin an argument.,0,100,0
8,pick holes,To criticize something or try to find fault with it.,0,100,0
9,press something home,To insist on a point in a discussion or argument.,0,40,60
10,running battle,To argue or disagree about something over a long period of time.,0,100,0
11,send someone packing,"To tell someone to leave, in a very forceful and unfriendly way.",0,100,0
12,shouting match,An argument or debate where people shout loudly at each other.,0,100,0
13,sink someone's differences,To decide to forget disagreements.,100,0,0
14,sit on the fence,To avoid taking sides in a discussion or argument.,0,20,80
15,skating on thin ice,To do or say something that could cause disagreement or trouble.,0,100,0
16,split hairs,To pay too much attention to differences that are very small or unimportant.,0,100,0
17,water under the bridge,If something difficult or unpleasant took place in the past but is no longer important.,80,0,20
18,wipe the slate clean,"To make a fresh start and forget all past offences, disagreements or mistakes.",100,0,0
19,cat and dog life,A life in which partners are constantly or frequently quarrelling.,0,100,0
20,caught in the crossfire,To suffer the effects of an argument or dispute between two people or groups.,0,100,0
21,clear the air,"To try to remove the causes of fear, worry or suspicion by talking about the problem openly.",80,0,20
22,dead set against,To be strongly opposed to something.,0,80,20
23,devil's advocate,To pretend to be against an idea or plan in order to determine the validity of the arguments in favour of it.,20,20,60
24,fight like cat and dog,"Two people who fight or argue frequently have violent arguments, even though they are fond of each other.",0,80,20
25,go against the tide/stream,"To refuse to conform to current trends, or the opinions or behaviour of other people.",0,40,60
26,hammer and tongs,"To argue fiercely, with a lot of energy and noise.",0,80,20
27,let bygones be bygones,To decide to forget about past disagreements.,100,0,0
28,let sleeping dogs lie,To ask someone not to interfere with a situation because they could cause problems.,0,60,40
29,at loggerheads,To disagree very strongly with someone.,0,100,0
30,lock horns,To argue or fight with someone about something.,0,100,0
31,no love lost,When two people do not like each other at all.,0,100,0
32,make a mountain out of a molehill,"To make a small, unimportant problem seem much more serious than it is.",0,100,0
33,much ado about nothing,To make a lot of fuss about something which is not important.,0,60,40
34,argue the toss,To dispute a decision or choice which has already been made.,0,80,20
35,all hell broke loose,A sudden angry or noisy reaction to something.,0,100,0
36,battle lines are drawn,This expression is used to say that opposing groups are ready to defend the reason behind the conflict.,0,60,40
37,battle of wills,"A conflict, argument or struggle where both sides are determined to win is described as a battle of wills.",0,40,60
38,blamestorming,"A discussion among a group of people who try to determine who or what is to blame for a particular mistake, failure or wrongdoing.",0,100,0
39,bone of contention,A matter or subject about which there is a lot of disagreement.,0,80,20
40,bone to pick,To be annoyed with someone and want to talk to them about it.,0,100,0
41,in the bad books,To have someone's disapproval.,0,100,0
42,bury the hatchet,When people who have had a disagreement decide to forget their quarrel and become friends again.,100,0,0
43,call someone's bluff,To challenge someone to do what they threaten to do (while believing that they will not dare to do it).,20,20,60
44,up in arms,To be very angry.,0,100,0
45,get off someone's back,To be annoyed and ask them to stop finding faults or criticize you.,0,100,0
46,bear with sore head,To bevery irritable and bad-tempered.,0,100,0
47,bite head off,To criticize someone strongly.,0,100,0
48,black mood,"To be irritable, angry or even depressed.",0,100,0
49,blow a fuse,To suddenly lose your temper and become very angry.,0,100,0
50,blow a gasket,To explode with anger.,0,100,0
51,blow someone's top,To suddenly become very angry.,0,100,0
53,cheesed off,"To be annoyed, bored or frustrated.",0,100,0
54,come down like a ton of bricks,To be criticized severely because you have done something wrong.,0,100,0
55,for crying out loud,"To show irritation, exasperation or anger.",0,100,0
56,cut it out,To telling someone to stop doing something.,0,80,20
57,drive up the wall,Where someone does something that greatly annoys or irritates you.,0,100,0
58,eat you alive,To criticize someone severely because you are angry with them.,0,100,0
59,fit to be tied,"To be extremely irritated, upset or angry.",0,100,0
60,get/take flak,To receive severe criticism for something you have done.,0,100,0
61,lea in someone's ear,"After an attempt at something, you are angrily reprimanded or humiliated.",0,100,0
62,fly off the handle,To become suddenly very angry.,0,100,0
63,foam at the mouth,To be extremely angry about something.,0,100,0
64,get somebody's goat,To annoy or irritate someone.,0,100,0
65,get someone's knickers in a twist,"To be angry, nervous or anxious when faced with a difficult situation.",0,100,0
66,get a rise out of,To make someone react angrily by jokingly saying something that you know will irritate them.,0,80,20
67,get in someone's hair,To annoy someone so much that they cannot get on with what they are doing.,0,100,0
68,get on someone's nerves,To annoy or innitate someone a great deal.,0,100,0
69,give it a rest,To ask someone to stop doing something such as complaining or talking continuously.,0,100,0
70,give a piece of someone's mind,"To tell someone exactly what you think, in a very angry manner.",0,80,20
71,give the (rough) edge of one's tongue,To scold someone severely or speak to someone very aggressively or rudely.,0,100,0
72,give a tongue-lashing,"To scold someone severely,or speak to someone very aggressively or rudely.",0,100,0
73,gloves are off,This expression is used when there are signs that a fight is about to start.,0,100,0
74,go ballistic,When someone becomes very angry.,0,100,0
75,go off the deep end,When someone becomes so angry or upset that they cannot control their emotions.,0,100,0
76,go postal,To lose your temper and express your anger in a violent way.,0,100,0
77,go spare,To lose your temper completely.,0,100,0
78,go through the roof,To become very angry.,0,100,0
79,good riddance,This expression is used to express relief at becoming free of an unpleasant or unwanted person or thing.,60,20,20
80,harp on,To tire others by talking continuously and tediously about it.,0,100,0
81,haul over the coals,To  reprimand someone harshly because they have done something wrong or incorrectly.,0,100,0
82,hot under the collar,"To feel annoyed, indignant or embarrassed.",0,100,0
83,jump down someone's throat,To suddenly start shouting at someone in a very angry manner.,0,100,0
85,kick yourself,To be angry with yourself for something you have or have not done.,0,100,0
86,like a red flag to a bull,To make sure someone is very angry or upset.,0,100,0
87,look daggers at,To look at someone very angrily.,0,100,0
88,make someone's hackles rise,To make you angry.,0,100,0
89,make a song and dance,If someone complains in an annoying way or becomes unnecessarily excited about something unimportant.,0,60,40
90,mind someone's own business,A rude way of saying that somone is interfering in something that does not concern them.,0,100,0
91,more heat than light,To cause anger or intense reaction but doesn't clarify anything.,0,100,0
92,quick temper,To get angry very easily.,0,100,0
93,rant and rave,To protest noisily and forcefully.,0,100,0
94,rap on the knuckles,"To punish or reprimand, but not very severely, as a reminder not to do something again.",0,100,0
95,road rage,Aggressive driving habits sometimes resulting in violence against other drivers.,0,100,0
96,scream blue murder,To shout or complain very loudly as if something very serious has happened.,0,100,0
97,see red,To become suddenly become very angry or annoyed.,0,100,0
98,short fuse,To become angry easily or quickly.,0,100,0
99,skin someone alive,To punish someone severely.,0,100,0
100,smooth someone's ruffled feathers,To make someone feel less angry or offended.,100,0,0
101,steamed up,"To become very angry, excited or enthusiastic about something.",0,40,60
102,step on someone's toes,To annoy or irritate someone by intervening in a situation that is their responsibility.,0,100,0
103,stick in someone's throat,Difficulty of accepting and makes you angry or resentful.,0,100,0
104,a storm is brewing,"There is going to be trouble, probably with outbursts of anger or emotion.",0,100,0
105,tear a strip off,To reprimand someone severely for doing something wrong.,0,100,0
106,tell a thing or two,To express your thoughts usually criticism very clearly.,0,60,40
107,makes someone's blood boil,To make you really angry.,0,100,0
108,that's going too far,To do something that is considered extreme or unacceptable.,0,100,0
109,take the biscuit,This expression refers to something very annoying or irritating.,0,100,0
110,the last straw,This expression means that this is the latest unpleasant event and that you cannot tolerate the situation any longer.,0,100,0
111,throw a wobbly,"When someone, usually a capricious person,throws a wobbly, they have a fit of nerves or bad temper and lose all self-control.",0,100,0
113,try someone's patience,To find it difficult to be patient with someone because of their irritating attitude or behaviour.,0,100,0
114,vent someone's spleen,To release or express all your anger about something.,0,80,20
115,want someone's head on a platter,When someone makes you so angry that you want them to be punished.,0,100,0
116,afraid of someone's own shadow,To be very nervous or easily frightened.,0,100,0
117,bated breath,To be anxious and excited about an imminent event.,20,0,80
118,make someone's blood run cold,Something which shocks or scares you a lot.,0,100,0
119,break out in a cold sweat,"To begin to perspire a lot, usually from anxiety.",0,100,0
120,bundle of nerves,"Someone who is very nervous, tense or worried.",0,100,0
121,butterflies in stomach,To feel very nervous.,0,60,40
122,can't stand the pace,To be unable to do things well when there is a lot of pressure.,0,100,0
123,cat on hot bricks,To be very nervous or restless.,0,100,0
124,on the edge of one's seat,To be very interested in something and fits with both extremely exciting and nerve-wracking.,20,0,80
125,get someone's fingers burnt,To suffer as a result of an unsuccessful action and are nervous about trying again.,0,100,0
126,heart in someone's mouth,To feel extremely anxious or nervous faced with a dangerous or unpleasant situation.,0,100,0
